ensid	gene_name	logFC	AveExpr	t	P.Value	adj.P.Val	B	ranks
ENSG00000076650	GPATCH1	0.0656067746247224	3.83783151443871	1.0709007769935	0.284740533645226	0.38236244551604	-6.6447427222925	0.545550705366441
ENSG00000076662	ICAM3	-0.111799992436746	1.50064375065992	-1.11684223667387	0.264608388840909	0.361130074333538	-6.3760023193048	-0.577396391556056
ENSG00000076685	NT5C2	0.150301858657998	6.40436832852797	2.38360358240857	0.0175234471958154	0.0377492844519625	-4.51296391850405	1.75638045576741
ENSG00000076706	MCAM	-0.654551548482472	2.7934097082952	-5.11708670305527	4.46084945841523e-07	3.15912196865322e-06	5.58537033925408	-6.35058243277334
ENSG00000076716	GPC4	0.129489195946995	3.13628365694846	1.10950116188422	0.267757528259373	0.364672501551041	-6.5342755166984	0.572258309719108
ENSG00000076770	MBNL3	0.72163380579392	3.79699919223452	6.43743623547982	2.8967636071718e-10	3.75289212265173e-09	12.6096086978668	9.53808694431634
ENSG00000076826	CAMSAP3	0.703304257227971	3.4644233893076	9.12832052571959	1.81246971226596e-18	7.24987884906384e-17	31.1452735204315	17.7417292420842
ENSG00000076864	RAP1GAP	1.15065460775443	5.00955588474322	8.54606285443235	1.62132715005667e-16	5.10080451703221e-15	26.6700214264464	15.7901293447264
ENSG00000076924	XAB2	0.0333532861724013	4.34669440413696	0.47076213964137	0.638019813678102	0.720022621692101	-7.16312047868109	0.195165834072802
ENSG00000076928	ARHGEF1	0.560195468117031	6.13523533512998	7.98811974426839	9.8378288551818e-15	2.44852629284525e-13	22.5912038928669	14.0071007369603
ENSG00000076944	STXBP2	0.431211760935607	7.47509596790448	7.09287384783824	4.61266266495881e-12	7.89936113876738e-11	16.5716994824704	11.3360483052235
ENSG00000076984	MAP2K7	0.0713259408906055	3.0650332558915	1.01352368245899	0.311309613452786	0.410268596890182	-6.62725014468483	0.506807467801159
ENSG00000077044	DGKD	0.364973107613858	4.00360076233188	4.45191015679167	1.05456196284871e-05	5.46051501798683e-05	2.45188393623775	4.97692789735391
ENSG00000077063	CTTNBP2	0.108393493057318	0.697851430809242	0.752175738439526	0.452306057381421	0.550999149274243	-6.70144530181442	0.344567596048663
ENSG00000077092	RARB	0.412231697806127	1.86739720405394	3.6530015672573	0.000287089857566906	0.00103940727485028	-0.467697733773266	3.54198215017341
ENSG00000077097	TOP2B	0.152456349165346	5.74254178092705	2.55405811737459	0.0109486196934117	0.0252547709949976	-4.09600175281449	1.96064062943759
ENSG00000077147	TM9SF3	0.536410259831262	6.32881822557585	7.36262126674476	7.66721244592764e-13	1.49473941504595e-11	18.3167519493808	12.1153625029866
ENSG00000077150	NFKB2	0.0153436115883896	4.87545303819908	0.222223066590635	0.824232705566463	0.872987498448569	-7.27699830941174	0.0839501566577853
ENSG00000077152	UBE2T	-0.352916746303495	4.09852379816576	-2.92572006424734	0.00359586011906152	0.00958439631925013	-3.01936196047295	-2.44419721090468
ENSG00000077157	PPP1R12B	0.767208832962449	4.59943538890727	8.08050658291681	5.0553071879531e-15	1.32443135684385e-13	23.2791803902277	14.2962524491769
ENSG00000077232	DNAJC10	0.317530432089718	6.81405387390063	3.90599702365443	0.000106991075900773	0.000431819837869787	0.168185357076504	3.97065244519966
ENSG00000077235	GTF3C1	-0.134486537910303	5.28484802932315	-3.65238878054732	0.000287757702634367	0.00104098393717859	-0.755235801601718	-3.5409730424442
